phs,pht,phv,n,count_available
phs000007,pht000036,phv00010499,3269,True
phs000007,pht000036,phv00177942,7536,True
phs000007,pht000074,phv00021231,4034,True
phs000007,pht000074,phv00177930,15089,True
phs000007,pht000395,phv00055258,933,True
phs000007,pht000397,phv00056840,786,True
phs000007,pht000692,phv00070555,300,True
phs000007,pht000692,phv00177984,302,True
phs000007,pht000747,phv00072337,2865,True
phs000007,pht000747,phv00177944,6885,True
phs000007,pht003094,phv00177539,3741,True
phs000007,pht003094,phv00177932,12547,True
phs000007,pht004814,phv00177932,12547,True
phs000007,pht004814,phv00251062,387,True
phs000007,pht004815,phv00177934,11800,True
phs000007,pht004815,phv00251535,285,True
phs000007,pht005140,phv00177936,8603,True
phs000007,pht005140,phv00177946,6103,True
phs000007,pht005140,phv00254284,2534,True
phs000007,pht005141,phv00226999,218,True
phs000007,pht005141,phv00254766,80,True
phs000007,pht005142,phv00227002,141,True
phs000007,pht005142,phv00255158,56,True
phs000007,pht006005,phv00177930,15089,True
phs000007,pht006005,phv00274053,101,True
phs000007,pht006007,phv00227005,91,True
phs000007,pht006007,phv00274883,30,True
phs000007,pht006007,phv00227008,40,True
phs000007,pht006007,phv00275241,18,True
phs000007,pht006026,phv00177930,15089,True
phs000007,pht006026,phv00277042,4539,True
phs000007,pht006026,phv00177932,12547,True
phs000007,pht006026,phv00277043,3741,True
phs000007,pht006026,phv00177934,11800,True
phs000007,pht006026,phv00520301,3453,True
phs000007,pht007777,phv00177930,15089,True
phs000007,pht007777,phv00369944,5069,True
phs000007,pht007777,phv00177936,8603,True
phs000007,pht007777,phv00369945,4403,True
phs000007,pht007777,phv00177938,8169,True
phs000007,pht007777,phv00369946,4296,True
phs000007,pht007777,phv00177948,4936,True
phs000007,pht007777,phv00369947,2783,True
phs000007,pht007777,phv00177950,2852,True
phs000007,pht007777,phv00369948,1607,True
phs000007,pht007777,phv00177952,3138,True
phs000007,pht007777,phv00369949,3125,True
phs000007,pht007777,phv00177954,3011,True
phs000007,pht007777,phv00369950,3001,True
phs000007,pht007777,phv00177956,2750,True
phs000007,pht007777,phv00369951,2706,True
phs000007,pht007777,phv00177958,2511,True
phs000007,pht007777,phv00369952,2415,True
phs000007,pht007777,phv00177960,2236,True
phs000007,pht007777,phv00369953,2190,True
phs000007,pht007777,phv00177962,2064,True
phs000007,pht007777,phv00369954,1914,True
phs000007,pht007777,phv00177964,1723,True
phs000007,pht007777,phv00369955,1604,True
phs000007,pht007777,phv00177966,1440,True
phs000007,pht007777,phv00369956,1354,True
phs000007,pht007777,phv00177968,1301,True
phs000007,pht007777,phv00369957,1164,True
phs000007,pht007777,phv00177970,1210,True
phs000007,pht007777,phv00369958,1017,True
phs000007,pht007777,phv00177972,1059,True
phs000007,pht007777,phv00369959,859,True
phs000007,pht007777,phv00177974,913,True
phs000007,pht007777,phv00369960,746,True
phs000007,pht007777,phv00177976,713,True
phs000007,pht007777,phv00369961,566,True
phs000007,pht007777,phv00177978,671,True
phs000007,pht007777,phv00369962,490,True
phs000007,pht007777,phv00177980,542,True
phs000007,pht007777,phv00369963,325,True
phs000007,pht007777,phv00177982,411,True
phs000007,pht007777,phv00369964,211,True
phs000007,pht007777,phv00177984,302,True
phs000007,pht007777,phv00369965,136,True
phs000007,pht007777,phv00226999,218,True
phs000007,pht007777,phv00369966,80,True
phs000007,pht007777,phv00227002,141,True
phs000007,pht007777,phv00369967,56,True
phs000007,pht007777,phv00227005,91,True
phs000007,pht007777,phv00369968,30,True
phs000007,pht007777,phv00227008,40,True
phs000007,pht007777,phv00369969,18,True
phs000007,pht009761,phv00177930,15089,True
phs000007,pht009761,phv00423918,5464,True
phs000007,pht009761,phv00177932,12547,True
phs000007,pht009761,phv00423919,4128,True
phs000007,pht009761,phv00177934,11800,True
phs000007,pht009761,phv00423920,3993,True
phs000007,pht009761,phv00177936,8603,True
phs000007,pht009761,phv00423921,4156,True
phs000007,pht000031,phv00007676,3744,True
phs000007,pht006026,phv00277055,4537,True
phs000007,pht006026,phv00277056,3744,True
phs000007,pht006026,phv00520310,3463,True
phs000007,pht007777,phv00370126,5073,True
phs000007,pht007777,phv00177932,12547,True
